央视频道,#genre#
黑龙江卫视,http://113.93.55.247:5555/udp/239.77.1.71:5146
黑龙江卫视高清,http://113.93.55.247:5555/udp/239.77.1.6:5146
黑龙江卫视高清,http://113.93.55.247:5555/udp/239.77.1.179:5146
黑龙江卫视高清,http://113.93.55.247:5555/udp/239.77.0.93:5146
黑龙江卫视超清,http://113.93.55.247:5555/udp/239.77.0.124:5146
贵州卫视,http://113.93.55.247:5555/udp/239.77.0.59:5146
贵州卫视,http://113.93.55.247:5555/udp/239.77.1.61:5146
贵州卫视高清,http://113.93.55.247:5555/udp/239.77.1.221:5146
贵州卫视高清,http://113.93.55.247:5555/udp/239.77.0.230:5146
四川卫视,http://113.93.55.247:5555/udp/239.77.0.60:5146
四川卫视,http://113.93.55.247:5555/udp/239.77.1.30:5146
四川卫视高清,http://113.93.55.247:5555/udp/239.77.1.215:5146
四川卫视高清,http://113.93.55.247:5555/udp/239.77.0.159:5146
四川卫视超清,http://113.93.55.247:5555/udp/239.77.0.163:5146
河南卫视,http://113.93.55.247:5555/udp/239.77.0.61:5146
河南卫视,http://113.93.55.247:5555/udp/239.77.1.58:5146
河南卫视高清,http://113.93.55.247:5555/udp/239.77.1.229:5146
河南卫视高清,http://113.93.55.247:5555/udp/239.77.0.17:5146
云南卫视,http://113.93.55.247:5555/udp/239.77.0.62:5146
云南卫视,http://113.93.55.247:5555/udp/239.77.1.72:5146
云南卫视高清,http://113.93.55.247:5555/udp/239.253.43.37:5146
云南卫视高清,http://113.93.55.247:5555/udp/239.253.43.100:5146
重庆卫视,http://113.93.55.247:5555/udp/239.77.0.63:5146
重庆卫视,http://113.93.55.247:5555/udp/239.77.1.16:5146
重庆卫视高清,http://113.93.55.247:5555/udp/239.77.1.162:5146
重庆卫视高清,http://113.93.55.247:5555/udp/239.77.1.210:5146
重庆卫视高清,http://113.93.55.247:5555/udp/239.77.0.182:5146
河北卫视,http://113.93.55.247:5555/udp/239.77.0.64:5146
河北卫视,http://113.93.55.247:5555/udp/239.77.1.60:5146
河北卫视高清,http://113.93.55.247:5555/udp/239.77.1.214:5146
河北卫视高清,http://113.93.55.247:5555/udp/239.77.0.148:5146
东南卫视,http://113.93.55.247:5555/udp/239.77.0.65:5146
东南卫视,http://113.93.55.247:5555/udp/239.77.1.1:5146
东南卫视,http://113.93.55.247:5555/udp/239.77.1.213:5146
东南卫视高清,http://113.93.55.247:5555/udp/239.77.1.104:5146
广东频道,#genre#
南国都市 4K,http://113.93.55.247:5555/udp/239.253.43.99:5146
广东少儿高清,http://113.93.55.247:5555/udp/239.77.0.250:5146
嘉佳卡通高清,http://113.93.55.247:5555/udp/239.77.0.179:5146
广东珠江,http://113.93.55.247:5555/udp/239.77.0.3:5146
广东珠江,http://113.93.55.247:5555/udp/239.77.1.94:5146
广东影视,http://113.93.55.247:5555/udp/239.77.0.11:5146
广东少儿,http://113.93.55.247:5555/udp/239.77.0.12:5146
嘉佳卡通,http://113.93.55.247:5555/udp/239.77.0.13:5146
嘉佳卡通,http://113.93.55.247:5555/udp/239.77.1.15:5146
岭南戏曲,http://113.93.55.247:5555/udp/239.77.0.16:5146
广东移动,http://113.93.55.247:5555/udp/239.77.0.20:5146
广东综艺 4K50p,http://113.93.55.247:5555/udp/239.77.1.236:5146
广东综艺 4K,http://113.93.55.247:5555/udp/239.77.1.237:5146
广东综艺(4k),http://113.93.55.247:5555/udp/239.77.0.244:5146
广东综艺4k,http://113.93.55.247:5555/udp/239.77.0.246:5146
广东综艺4k,http://113.93.55.247:5555/udp/239.77.0.245:5146
广东综艺4k,http://113.93.55.247:5555/udp/239.77.0.252:5146
广州综合,http://113.93.55.247:5555/udp/239.253.43.66:5146
广州综合高清,http://113.93.55.247:5555/udp/239.253.43.71:5146
广州影视,http://113.93.55.247:5555/udp/239.253.43.68:5146
广州影视高清,http://113.93.55.247:5555/udp/239.253.43.73:5146
广州竞赛高清,http://113.93.55.247:5555/udp/239.253.43.75:5146
