组播频道,#genre#
CCTV4,http://221.15.7.28:8888/rtp/225.1.5.30:1333$(河南信阳联通)
CCTV5,http://221.15.7.28:8888/rtp/225.1.4.159:1195$(河南信阳联通)
CCTV5+,http://221.15.7.28:8888/rtp/225.1.4.75:1104$(河南信阳联通)
CCTV6,http://221.15.7.28:8888/rtp/225.1.4.160:1196$(河南信阳联通)
CCTV7,http://221.15.7.28:8888/rtp/225.1.4.76:1105$(河南信阳联通)
CCTV8,http://221.15.7.28:8888/rtp/225.1.4.161:1197$(河南信阳联通)
CCTV9,http://221.15.7.28:8888/rtp/225.1.4.77:1106$(河南信阳联通)
CCTV10,http://221.15.7.28:8888/rtp/225.1.4.78:1107$(河南信阳联通)
CCTV11,http://221.15.7.28:8888/rtp/225.1.4.215:1268$(河南信阳联通)
CCTV12,http://221.15.7.28:8888/rtp/225.1.4.79:1108$(河南信阳联通)
CCTV13,http://221.15.7.28:8888/rtp/225.1.4.113:1293$(河南信阳联通)
CCTV14,http://221.15.7.28:8888/rtp/225.1.4.80:1109$(河南信阳联通)
CCTV15,http://221.15.7.28:8888/rtp/225.1.4.216:1269$(河南信阳联通)
CCTV17,http://221.15.7.28:8888/rtp/225.1.4.226:2506$(河南信阳联通)


CCTV1,http://42.236.162.210:8888/rtp/225.1.4.73:1102$(河南郑州联通)
CCTV2,http://42.236.162.210:8888/rtp/225.1.4.74:1103$(河南郑州联通)
CCTV3,http://42.236.162.210:8888/rtp/225.1.4.158:1194$(河南郑州联通)
CCTV4,http://42.236.162.210:8888/rtp/225.1.5.30:1333$(河南郑州联通)
CCTV5,http://42.236.162.210:8888/rtp/225.1.4.159:1195$(河南郑州联通)
CCTV5+,http://42.236.162.210:8888/rtp/225.1.4.75:1104$(河南郑州联通)
CCTV6,http://42.236.162.210:8888/rtp/225.1.4.160:1196$(河南郑州联通)
CCTV7,http://42.236.162.210:8888/rtp/225.1.4.76:1105$(河南郑州联通)
CCTV8,http://42.236.162.210:8888/rtp/225.1.4.161:1197$(河南郑州联通)
CCTV9,http://42.236.162.210:8888/rtp/225.1.4.77:1106$(河南郑州联通)
CCTV10,http://42.236.162.210:8888/rtp/225.1.4.78:1107$(河南郑州联通)
CCTV11,http://42.236.162.210:8888/rtp/225.1.4.215:1268$(河南郑州联通)
CCTV12,http://42.236.162.210:8888/rtp/225.1.4.79:1108$(河南郑州联通)
CCTV13,http://42.236.162.210:8888/rtp/225.1.4.113:1293$(河南郑州联通)
CCTV14,http://42.236.162.210:8888/rtp/225.1.4.80:1109$(河南郑州联通)
CCTV15,http://42.236.162.210:8888/rtp/225.1.4.216:1269$(河南郑州联通)
CCTV17,http://42.236.162.210:8888/rtp/225.1.4.226:2506$(河南郑州联通)


CCTV1,http://222.141.134.67:8888/rtp/225.1.4.73:1102$(河南驻马店联通)
CCTV2,http://222.141.134.67:8888/rtp/225.1.4.74:1103$(河南驻马店联通)
CCTV3,http://222.141.134.67:8888/rtp/225.1.4.158:1194$(河南驻马店联通)
CCTV4,http://222.141.134.67:8888/rtp/225.1.5.30:1333$(河南驻马店联通)
CCTV5,http://222.141.134.67:8888/rtp/225.1.4.159:1195$(河南驻马店联通)
CCTV5+,http://222.141.134.67:8888/rtp/225.1.4.75:1104$(河南驻马店联通)
CCTV6,http://222.141.134.67:8888/rtp/225.1.4.160:1196$(河南驻马店联通)
CCTV7,http://222.141.134.67:8888/rtp/225.1.4.76:1105$(河南驻马店联通)
CCTV8,http://222.141.134.67:8888/rtp/225.1.4.161:1197$(河南驻马店联通)
CCTV9,http://222.141.134.67:8888/rtp/225.1.4.77:1106$(河南驻马店联通)
CCTV10,http://222.141.134.67:8888/rtp/225.1.4.78:1107$(河南驻马店联通)
CCTV11,http://222.141.134.67:8888/rtp/225.1.4.215:1268$(河南驻马店联通)
CCTV12,http://222.141.134.67:8888/rtp/225.1.4.79:1108$(河南驻马店联通)
CCTV13,http://222.141.134.67:8888/rtp/225.1.4.113:1293$(河南驻马店联通)
CCTV14,http://222.141.134.67:8888/rtp/225.1.4.80:1109$(河南驻马店联通)
CCTV15,http://222.141.134.67:8888/rtp/225.1.4.216:1269$(河南驻马店联通)
CCTV17,http://222.141.134.67:8888/rtp/225.1.4.226:2506$(河南驻马店联通)

CCTV1,http://183.166.118.39:8888/rtp/238.1.78.166:7200$(安徽淮南)
CCTV2,http://183.166.118.39:8888/rtp/238.1.78.235:7752$(安徽淮南)
CCTV3,http://183.166.118.39:8888/rtp/238.1.78.170:7232$(安徽淮南)
CCTV4,http://183.166.118.39:8888/rtp/238.1.78.236:7760$(安徽淮南)
CCTV5,http://183.166.118.39:8888/rtp/238.1.78.171:7240$(安徽淮南)
CCTV5+,http://183.166.118.39:8888/rtp/238.1.78.237:7768$(安徽淮南)
CCTV6,http://183.166.118.39:8888/rtp/238.1.78.172:7248$(安徽淮南)
CCTV7,http://183.166.118.39:8888/rtp/238.1.78.239:7784$(安徽淮南)
CCTV8,http://183.166.118.39:8888/rtp/238.1.78.173:7256$(安徽淮南)
CCTV9,http://183.166.118.39:8888/rtp/238.1.78.240:7792$(安徽淮南)
CCTV10,http://183.166.118.39:8888/rtp/238.1.78.241:7800$(安徽淮南)
CCTV11,http://183.166.118.39:8888/rtp/238.1.78.206:7502$(安徽淮南)
CCTV12,http://183.166.118.39:8888/rtp/238.1.78.242:7808$(安徽淮南)
CCTV13,http://183.166.118.39:8888/rtp/238.1.79.35:4392$(安徽淮南)
CCTV14,http://183.166.118.39:8888/rtp/238.1.78.243:7816$(安徽淮南)
CCTV15,http://183.166.118.39:8888/rtp/238.1.78.222:7648$(安徽淮南)
CCTV17,http://183.166.118.39:8888/rtp/238.1.78.178:7296$(安徽淮南)

CCTV1,http://221.218.212.142:8012/rtp/239.3.1.129:8008$(北京)
CCTV2,http://221.218.212.142:8012/rtp/239.3.1.60:8084$(北京)
CCTV3,http://221.218.212.142:8012/rtp/239.3.1.172:8001$(北京)
CCTV4,http://221.218.212.142:8012/rtp/239.3.1.105:8092$(北京)
CCTV5,http://221.218.212.142:8012/rtp/239.3.1.173:8001$(北京)
CCTV5+,http://221.218.212.142:8012/rtp/239.3.1.130:8004$(北京)
CCTV6,http://221.218.212.142:8012/rtp/239.3.1.174:8001$(北京)
CCTV7,http://221.218.212.142:8012/rtp/239.3.1.61:8104$(北京)
CCTV8,http://221.218.212.142:8012/rtp/239.3.1.175:8001$(北京)
CCTV9,http://221.218.212.142:8012/rtp/239.3.1.62:8112$(北京)
CCTV10,http://221.218.212.142:8012/rtp/239.3.1.63:8116$(北京)
CCTV11,http://221.218.212.142:8012/rtp/239.3.1.152:8120$(北京)
CCTV12,http://221.218.212.142:8012/rtp/239.3.1.64:8124$(北京)
CCTV13,http://221.218.212.142:8012/rtp/239.3.1.124:8128$(北京)
CCTV14,http://221.218.212.142:8012/rtp/239.3.1.65:8132$(北京)
CCTV15,http://221.218.212.142:8012/rtp/239.3.1.153:8136$(北京)
CCTV16,http://221.218.212.142:8012/rtp/239.3.1.184:8001$(北京)
CCTV17,http://221.218.212.142:8012/rtp/239.3.1.151:8144$(北京)


CCTV1,http://182.32.160.10:9997/udp/239.21.1.120:5002$(山东德州电信)
CCTV2,http://182.32.160.10:9997/udp/239.21.1.151:5002$(山东德州电信)
CCTV3,http://182.32.160.10:9997/udp/239.21.2.45:5002$(山东德州电信)
CCTV4,http://182.32.160.10:9997/udp/239.21.1.154:5002$(山东德州电信)
CCTV5,http://182.32.160.10:9997/udp/239.21.2.46:5002$(山东德州电信)
CCTV5+,http://182.32.160.10:9997/udp/239.21.1.142:5002$(山东德州电信)
CCTV6,http://182.32.160.10:9997/udp/239.21.2.47:5002$(山东德州电信)
CCTV7,http://182.32.160.10:9997/udp/239.21.1.152:5002$(山东德州电信)
CCTV8,http://182.32.160.10:9997/udp/239.21.2.48:5002$(山东德州电信)
CCTV9,http://182.32.160.10:9997/udp/239.21.1.153:5002$(山东德州电信)
CCTV10,http://182.32.160.10:9997/udp/239.21.1.155:5002$(山东德州电信)
CCTV11,http://182.32.160.10:9997/udp/239.21.2.2:5002$(山东德州电信)
CCTV12,http://182.32.160.10:9997/udp/239.21.1.156:5002$(山东德州电信)
CCTV13,http://182.32.160.10:9997/udp/239.21.2.3:5002$(山东德州电信)
CCTV14,http://182.32.160.10:9997/udp/239.21.1.157:5002$(山东德州电信)
CCTV15,http://182.32.160.10:9997/udp/239.21.2.4:5002$(山东德州电信)
CCTV17,http://182.32.160.10:9997/udp/239.21.1.186:5002$(山东德州电信)

CCTV1,http://123.170.144.250:5000/udp/239.21.1.120:5002$(山东临沂电信)
CCTV2,http://123.170.144.250:5000/udp/239.21.1.151:5002$(山东临沂电信)
CCTV3,http://123.170.144.250:5000/udp/239.21.2.45:5002$(山东临沂电信)
CCTV4,http://123.170.144.250:5000/udp/239.21.1.154:5002$(山东临沂电信)
CCTV5,http://123.170.144.250:5000/udp/239.21.2.46:5002$(山东临沂电信)
CCTV5+,http://123.170.144.250:5000/udp/239.21.1.142:5002$(山东临沂电信)
CCTV6,http://123.170.144.250:5000/udp/239.21.2.47:5002$(山东临沂电信)
CCTV7,http://123.170.144.250:5000/udp/239.21.1.152:5002$(山东临沂电信)
CCTV8,http://123.170.144.250:5000/udp/239.21.2.48:5002$(山东临沂电信)
CCTV9,http://123.170.144.250:5000/udp/239.21.1.153:5002$(山东临沂电信)
CCTV10,http://123.170.144.250:5000/udp/239.21.1.155:5002$(山东临沂电信)
CCTV11,http://123.170.144.250:5000/udp/239.21.2.2:5002$(山东临沂电信)
CCTV12,http://123.170.144.250:5000/udp/239.21.1.156:5002$(山东临沂电信)
CCTV13,http://123.170.144.250:5000/udp/239.21.2.3:5002$(山东临沂电信)
CCTV14,http://123.170.144.250:5000/udp/239.21.1.157:5002$(山东临沂电信)
CCTV15,http://123.170.144.250:5000/udp/239.21.2.4:5002$(山东临沂电信)
CCTV17,http://123.170.144.250:5000/udp/239.21.1.186:5002$(山东临沂电信)

CCTV1,http://144.255.21.21:8123/udp/239.21.1.120:5002$(山东济南电信)
CCTV2,http://144.255.21.21:8123/udp/239.21.1.151:5002$(山东济南电信)
CCTV3,http://144.255.21.21:8123/udp/239.21.2.45:5002$(山东济南电信)
CCTV4,http://144.255.21.21:8123/udp/239.21.1.154:5002$(山东济南电信)
CCTV5,http://144.255.21.21:8123/udp/239.21.2.46:5002$(山东济南电信)
CCTV5+,http://144.255.21.21:8123/udp/239.21.1.142:5002$(山东济南电信)
CCTV6,http://144.255.21.21:8123/udp/239.21.2.47:5002$(山东济南电信)
CCTV7,http://144.255.21.21:8123/udp/239.21.1.152:5002$(山东济南电信)
CCTV8,http://144.255.21.21:8123/udp/239.21.2.48:5002$(山东济南电信)
CCTV9,http://144.255.21.21:8123/udp/239.21.1.153:5002$(山东济南电信)
CCTV10,http://144.255.21.21:8123/udp/239.21.1.155:5002$(山东济南电信)
CCTV11,http://144.255.21.21:8123/udp/239.21.2.2:5002$(山东济南电信)
CCTV12,http://144.255.21.21:8123/udp/239.21.1.156:5002$(山东济南电信)
CCTV13,http://144.255.21.21:8123/udp/239.21.2.3:5002$(山东济南电信)
CCTV14,http://144.255.21.21:8123/udp/239.21.1.157:5002$(山东济南电信)
CCTV15,http://144.255.21.21:8123/udp/239.21.2.4:5002$(山东济南电信)
CCTV17,http://144.255.21.21:8123/udp/239.21.1.186:5002$(山东济南电信)

CCTV1,http://144.255.40.82:4022/udp/239.21.1.120:5002$(山东烟台电信)
CCTV2,http://144.255.40.82:4022/udp/239.21.1.151:5002$(山东烟台电信)
CCTV3,http://144.255.40.82:4022/udp/239.21.2.45:5002$(山东烟台电信)
CCTV4,http://144.255.40.82:4022/udp/239.21.1.154:5002$(山东烟台电信)
CCTV5,http://144.255.40.82:4022/udp/239.21.2.46:5002$(山东烟台电信)
CCTV5+,http://144.255.40.82:4022/udp/239.21.1.142:5002$(山东烟台电信)
CCTV6,http://144.255.40.82:4022/udp/239.21.2.47:5002$(山东烟台电信)
CCTV7,http://144.255.40.82:4022/udp/239.21.1.152:5002$(山东烟台电信)
CCTV8,http://144.255.40.82:4022/udp/239.21.2.48:5002$(山东烟台电信)
CCTV9,http://144.255.40.82:4022/udp/239.21.1.153:5002$(山东烟台电信)
CCTV10,http://144.255.40.82:4022/udp/239.21.1.155:5002$(山东烟台电信)
CCTV11,http://144.255.40.82:4022/udp/239.21.2.2:5002$(山东烟台电信)
CCTV12,http://144.255.40.82:4022/udp/239.21.1.156:5002$(山东烟台电信)
CCTV13,http://144.255.40.82:4022/udp/239.21.2.3:5002$(山东烟台电信)
CCTV14,http://144.255.40.82:4022/udp/239.21.1.157:5002$(山东烟台电信)
CCTV15,http://144.255.40.82:4022/udp/239.21.2.4:5002$(山东烟台电信)
CCTV17,http://144.255.40.82:4022/udp/239.21.1.186:5002$(山东烟台电信)

CCTV1,http://118.250.108.153:8888/udp/239.76.246.151:1234$(湖南长沙)
CCTV1,http://118.250.108.153:8888/udp/239.76.253.151:9000$(湖南长沙)
CCTV2,http://118.250.108.153:8888/udp/239.76.246.152:1234$(湖南长沙)
