央视高清,#genre#
泸州科教生活,http://175.152.138.149:6066/udp/239.94.0.182:5140
雅安综合,http://175.152.138.149:6066/udp/239.94.0.166:5140
雅安文化生活,http://175.152.138.149:6066/udp/239.94.0.180:5140
眉山综合,http://175.152.138.149:6066/udp/239.94.0.170:5140
眉山文旅乡村,http://175.152.138.149:6066/udp/239.94.0.174:5140
财富天下,http://175.152.138.149:6066/udp/239.94.1.67:5140
财富天下,http://175.152.138.149:6066/udp/239.94.1.42:5140
少儿动画,http://175.152.138.149:6066/udp/239.94.1.33:5140
魅力时尚,http://175.152.138.149:6066/udp/239.94.1.39:5140
爱体育,http://175.152.138.149:6066/udp/239.94.1.44:5140
求索记录,http://175.152.138.149:6066/udp/239.94.1.142:5140
热播剧场,http://175.152.138.149:6066/udp/239.94.1.25:5140
经典电影,http://175.152.138.149:6066/udp/239.94.1.21:5140
音乐现场,http://175.152.138.149:6066/udp/239.94.1.36:5140
精彩导视,http://175.152.138.149:6066/udp/239.94.1.63:5140
精彩影视,http://175.152.138.149:6066/udp/239.94.1.172:5140
爱生活,http://175.152.138.149:6066/udp/239.94.1.41:5140
影院高清,#genre#
iHOT爱体育,http://175.152.138.149:6066/udp/239.94.1.143:5140
iHOT爱动漫,http://175.152.138.149:6066/udp/239.94.1.141:5140
iHOT爱历史,http://175.152.138.149:6066/udp/239.94.1.135:5140
iHOT爱喜剧,http://175.152.138.149:6066/udp/239.94.1.129:5140
iHOT爱喜剧,http://175.152.138.149:6066/udp/239.94.2.71:5140
iHOT爱奇谈,http://175.152.138.149:6066/udp/239.94.1.130:5140
iHOT爱幼教,http://175.152.138.149:6066/udp/239.94.1.139:5140
iHOT爱悬疑,http://175.152.138.149:6066/udp/239.94.1.136:5140
iHOT爱旅行,http://175.152.138.149:6066/udp/239.94.1.137:5140
iHOT爱浪漫,http://175.152.138.149:6066/udp/239.94.1.128:5140
iHOT爱玩具,http://175.152.138.149:6066/udp/239.94.1.140:5140
iHOT爱科幻,http://175.152.138.149:6066/udp/239.94.1.131:5140
iHOT爱谍战,http://175.152.138.149:6066/udp/239.94.1.134:5140
iHOT爱赛车,http://175.152.138.149:6066/udp/239.94.1.144:5140
iHOT爱院线,http://175.152.138.149:6066/udp/239.94.1.132:5140
bestv,http://175.152.138.149:6066/udp/239.94.2.57:5140
i成都,http://175.152.138.149:6066/udp/239.94.2.1:5140
乐龄学堂,http://175.152.138.149:6066/udp/239.94.1.155:5140
